google_scholar_id,name,citations,h_index
Wp_Yho8AAAAJ&hl=en&oi=sra,Yuya Yoshikawa,77,5
S1F-gScAAAAJ&hl=en&oi=sra,Tomoharu Iwata,2243,22
N3aXBuIAAAAJ&hl=en&oi=sra,Hiroshi Sawada,7884,42
maGmqdMAAAAJ&hl=en&oi=sra,Mingjun Zhong,376,11
NVeTifMAAAAJ&hl=en&oi=sra,Nigel Goddard,2356,25
hYtGXD0AAAAJ&hl=en&oi=sra,Charles Sutton,7164,34
VnvkluIAAAAJ&hl=en&oi=sra,Bryan He,126,7
v7EjGHkAAAAJ&hl=en&oi=sra,Christopher De Sa,900,13
K757SxgAAAAJ&hl=en&oi=sra,Ioannis (Yannis) Mitliagkas,652,13
DnnCWN0AAAAJ&hl=en&oi=sra,Christopher R?,10655,51
aM3i_9oAAAAJ&hl=en&oi=sra,Nicholas Roy,17634,67
7K34d7cAAAAJ&hl=en&oi=sra,Sebastian Thrun,100026,144
6m4wv6gAAAAJ&hl=en&oi=sra,Richard S. Sutton,76722,81
nbpafUkAAAAJ&hl=en&oi=sra,David McAllester,24311,59
q92q8SMAAAAJ&hl=en&oi=sra,Satinder Singh,33620,68
09kJn28AAAAJ&hl=en&oi=sra,Thomas Dietterich,38891,75
xaQuPloAAAAJ&hl=en&oi=sra,Dale Schuurmans,8039,47
Xz4RAJkAAAAJ&hl=en&oi=sra,Greg Yang,81,6
mk-zQBsAAAAJ&hl=en&oi=sra,Samuel S. Schoenholz,1657,22
t5zdD_IAAAAJ&hl=en&oi=sra,Martha White,669,14
xaQuPloAAAAJ&hl=en&oi=sra,Dale Schuurmans,8039,47
-Uf7kNYAAAAJ&hl=en&oi=sra,Jessie Huang,171,7
TaNN8ZUAAAAJ&hl=en&oi=sra,FA WU,329,8
j54VcVEAAAAJ&hl=en&oi=sra,Doina Precup,9620,42
1UWlwuEAAAAJ&hl=en&oi=sra,Yang Cai,909,15
eAJfUeIAAAAJ&hl=en&oi=sra,Si Si,1093,12
ZZdB48QAAAAJ&hl=en&oi=sra,Yang Li,4269,29
Rtg5ZY8AAAAJ&hl=en&oi=sra,Ciprian Chelba,4780,38
Wy89g4IAAAAJ&hl=en&oi=sra,Cho-Jui Hsieh,12099,34
s8xc2K4AAAAJ&hl=en&oi=sra,Samira Samadi,28,4
nzO_5FMAAAAJ&hl=en&oi=sra,Uthaipon Tantipongpipat,28,3
_axVc_MAAAAJ&hl=en&oi=sra,Aniket Bajpai,1,1
i8tU6L8AAAAJ&hl=en&oi=sra,Sankalp Garg,1,1
GaPs1q0AAAAJ&hl=en&oi=sra,Don Dennis,4,2
bW65tuAAAAAJ&hl=en&oi=sra,Harsha Vardhan Simhadri,521,9
dJfEfJgAAAAJ&hl=en&oi=sra,Hui Zou,22899,32
tQVe-fAAAAAJ&hl=en&oi=sra,Trevor Hastie,205098,128
ZpG_cJwAAAAJ&hl=en&oi=sra,Robert Tibshirani,307589,147
pCS09UsAAAAJ&hl=en&oi=sra,Kevin Bello,8,2
8OW3TMMAAAAJ&hl=en&oi=sra,Jean Honorio,1223,15
JvRmVhUAAAAJ&hl=en&oi=sra,"Archana Sharma, PhD",14787,44
k7NgVSUAAAAJ&hl=en&oi=sra,Zhuoran Yang,192,8
RBhEc_MAAAAJ&hl=en&oi=sra,Yuchen Xie,7,1
HSx0BgQAAAAJ&hl=en&oi=sra,Zhaoran Wang,830,14
SGT23RAAAAAJ&hl=en&oi=sra,Anshumali Shrivastava,941,15
K2WfIlsAAAAJ&hl=en&oi=sra,Nathan Kallus,689,14
aeGDj-IAAAAJ&hl=en&oi=sra,Uri Shalit,1313,13
