Latent Support Measure Machines for Bag-of-Words Data Classification,25.0
Latent Bayesian melding for integrating individual and population models,22.0
Scan Order in Gibbs Sampling: Models in Which it Matters and Bounds on How Much,9.0
Exponential Family PCA for Belief Compression in POMDPs,152.0
A Method for the Design of Stable Lateral Inhibition Networks that is Robust in the Presence of Circuit Parasitics,4.0
Monte Carlo POMDPs,311.0
Policy Gradient Methods for Reinforcement Learning with Function Approximation,2170.0
Stabilizing Value Function Approximation with the BFBP Algorithm,5.0
Direct value-approximation for factored MDPs,97.0
Mean Field Residual Networks: On the Edge of Chaos,27.0
Multi-view Matrix Factorization for Linear Dynamical System Estimation,Related articles
Learning Safe Policies with Expert Guidance,3
GroupReduce: Block-Wise Low-Rank Approximation for Neural Language Model Shrinking,4
The Price of Fair PCA: One Extra dimension,8
Transfer of Deep Reactive Policies for MDP Planning,1
Multiple Instance Learning for Efficient Sequential Data Classification on Resource-constrained Devices,2
Sparse PCA from Sparse Linear Regression,2290
Computationally and statistically efficient learning of causal Bayes nets using path queries,1
Point process latent variable models of larval zebrafish behavior,1
Contrastive Learning from Pairwise Measurements,Related articles
Topkapi: Parallel and Fast Sketches for Finding Top-K Frequent Elements,1
Removing Hidden Confounding by Experimental Grounding,Related articles
Semidefinite relaxations for certifying robustness to adversarial examples,22
MixLasso: Generalized Mixed Regression via Convex Atomic-Norm Regularization,1
Smoothed Analysis of Discrete Tensor Decomposition and Assemblies of Neurons,3
Domain Adaptation by Using Causal Inference to Predict Invariant Conditional Distributions,5
Multi-value Rule Sets for Interpretable Classification with Feature-Efficient Representations,2
Differentially Private Change-Point Detection,2
Support Recovery for Orthogonal Matching Pursuit: Upper and Lower bounds,Related articles
Fast and Effective Robustness Certification,20
Bias and Generalization in Deep Generative Models: An Empirical Study,4
Learning Temporal Point Processes via Reinforcement Learning,
Joint Autoregressive and Hierarchical Priors for Learned Image Compression,28
Decentralize and Randomize: Faster Algorithm for Wasserstein Barycenters,13
"With Friends Like These, Who Needs Adversaries?",5
Forward Modeling for Partial Observation Strategy Games - A StarCraft Defogger,3
DropBlock: A regularization method for convolutional networks,30
Autoconj: Recognizing and Exploiting Conjugacy Without a Domain-Specific Language,
Analysis of Krylov Subspace Solutions of  Regularized Non-Convex Quadratic Problems,
Mean Field for the Stochastic Blockmodel: Optimization Landscape and Convergence Issues,
Robust Subspace Approximation in a Stream,
Thermostat-assisted continuously-tempered Hamiltonian Monte Carlo for Bayesian learning,
Benefits of over-parameterization with EM,
Learning Beam Search Policies via Imitation Learning,
Data-Driven Clustering via Parameterized Lloyd's Families,
Understanding Regularized Spectral Clustering via Graph Conductance,
Fully Neural Network Based Speech Recognition on Mobile and Embedded Devices,
Connecting Optimization and Regularization Paths,
Sketching Method for Large Scale Combinatorial Inference,
Regret Bounds for Online Portfolio Selection with a Cardinality Constraint,
Improved Network Robustness with Adversary Critic,
Fast deep reinforcement learning using online adjustments from the past,
Streamlining Variational Inference for Constraint Satisfaction Problems,
Learning a Warping Distance from Unlabeled Time Series Using Sequence Autoencoders,
Complex Gated Recurrent Neural Networks,
Bayesian Structure Learning by Recursive Bootstrap,
The Sparse Manifold Transform,
Deep Generative Models with Learnable Knowledge Constraints,
Diversity-Driven Exploration Strategy for Deep Reinforcement Learning,
Regret bounds for meta Bayesian optimization with an unknown Gaussian process prior,
Discretely Relaxing Continuous Variables for tractable Variational Inference,
Using Trusted Data to Train Deep Networks on Labels Corrupted by Severe Noise,
Temporal alignment and latent Gaussian process factor inference in population spike trains,
Bounded-Loss Private Prediction Markets,
Learning Abstract Options,
Mesh-TensorFlow: Deep Learning for Supercomputers,
Convex Elicitation of Continuous Properties,
Context-aware Synthesis and Placement of Object Instances,
3D Steerable CNNs: Learning Rotationally Equivariant Features in Volumetric Data,
Gaussian Process Prior Variational Autoencoders,
Adversarial Risk and Robustness: General Definitions and Implications for the Uniform Distribution,
Unsupervised Image-to-Image Translation Using Domain-Specific Variational Information Bound,
Learning and Inference in Hilbert Space with Quantum Graphical Models,
Lifted Weighted Mini-Bucket,
Learning to Solve SMT Formulas,
PCA of high dimensional random walks with comparison to neural network training,
Improving Simple Models with Confidence Profiles,
Robust Learning of Fixed-Structure Bayesian Networks,
Robustness of conditional GANs to noisy labels,
Predictive Approximate Bayesian Computation via Saddle Points,
Learning to Share and Hide Intentions using Information Regularization,
Generalizing Point Embeddings using the Wasserstein Space of Elliptical Distributions,
Nonparametric Density Estimation under Adversarial Losses,
Glow: Generative Flow with Invertible 1x1 Convolutions,
Total stochastic gradient algorithms and applications in reinforcement learning,
Learning with SGD and Random Features,
Backpropagation with Callbacks: Foundations for Efficient and Expressive Differentiable Programming,
Learning To Learn Around A Common Mean,
Human-in-the-Loop Interpretability Prior,
Synaptic Strength For Convolutional Neural Network,
A Spectral View of Adversarially Robust Features,
Bayesian Nonparametric Spectral Estimation,
Clebsch–Gordan Nets: a Fully Fourier Space Spherical Convolutional Neural Network,
A Simple Cache Model for Image Recognition,
Low-Rank Tucker Decomposition of Large Tensors Using TensorSketch,
Blockwise Parallel Decoding for Deep Autoregressive Models,
Thwarting Adversarial Examples: An ,
Testing for Families of Distributions via the Fourier Transform,
A Retrieve-and-Edit Framework for Predicting Structured Outputs,
Scalable Laplacian K-modes,
Blind Deconvolutional Phase Retrieval via Convex Programming,
Neural Voice Cloning with a Few Samples,
Persistence Fisher Kernel: A Riemannian Manifold Kernel for Persistence Diagrams,
Memory Augmented Policy Optimization for Program Synthesis and Semantic Parsing,
Learning to Reason with Third Order Tensor Products,
Post: Device Placement with Cross-Entropy Minimization and Proximal Policy Optimization,
